"","DATE","water_date","PRCP"
"65",2008-12-04,2007-12-04,0
"66",2008-12-05,2007-12-05,0
"67",2008-12-06,2007-12-06,0
"68",2008-12-07,2007-12-07,0
"69",2008-12-08,2007-12-08,0.16
"70",2008-12-09,2007-12-09,0.02
"71",2008-12-10,2007-12-10,0
"72",2008-12-11,2007-12-11,0
"73",2008-12-12,2007-12-12,0
"74",2008-12-13,2007-12-13,0.85
"75",2008-12-14,2007-12-14,0.29
"76",2008-12-15,2007-12-15,0.85
"77",2008-12-16,2007-12-16,0
"78",2008-12-17,2007-12-17,0
"79",2008-12-18,2007-12-18,0.23
"80",2008-12-19,2007-12-19,0.23
"81",2008-12-20,2007-12-20,0.22
"82",2008-12-21,2007-12-21,0.57
"83",2008-12-22,2007-12-22,0.95
"84",2008-12-23,2007-12-23,0.28
"85",2008-12-24,2007-12-24,0.05
"86",2008-12-25,2007-12-25,0.53
"87",2008-12-26,2007-12-26,0.39
"88",2008-12-27,2007-12-27,0.87
"89",2008-12-28,2007-12-28,1.38
"90",2008-12-29,2007-12-29,0.71
"91",2008-12-30,2007-12-30,0.04
"92",2008-12-31,2007-12-31,0.19
"93",2008-01-01,2008-01-01,0
"94",2008-01-02,2008-01-02,0.54
"95",2008-01-03,2008-01-03,0.37
"96",2008-01-04,2008-01-04,1.34
"97",2008-01-05,2008-01-05,0.67
"98",2008-01-06,2008-01-06,0.9
"99",2008-01-07,2008-01-07,0.78
"100",2008-01-08,2008-01-08,0.79
"101",2008-01-09,2008-01-09,0.27
"102",2008-01-10,2008-01-10,0.48
"103",2008-01-11,2008-01-11,0.18
"104",2008-01-12,2008-01-12,0.47
"105",2008-01-13,2008-01-13,0.05
"106",2008-01-14,2008-01-14,0.01
"107",2008-01-15,2008-01-15,0.51
"108",2008-01-16,2008-01-16,0.04
"109",2008-01-17,2008-01-17,0
"110",2008-01-18,2008-01-18,0
"111",2008-01-19,2008-01-19,0
"112",2008-01-20,2008-01-20,0.34
"113",2008-01-21,2008-01-21,0.15
"114",2008-01-22,2008-01-22,0.01
"115",2008-01-23,2008-01-23,0
"116",2008-01-24,2008-01-24,0
"117",2008-01-25,2008-01-25,0.12
"118",2008-01-26,2008-01-26,0
"119",2008-01-27,2008-01-27,1.86
"120",2008-01-28,2008-01-28,0.42
"121",2008-01-29,2008-01-29,1
"122",2008-01-30,2008-01-30,0.35
"123",2008-01-31,2008-01-31,1.04
"124",2008-02-01,2008-02-01,0.22
"125",2008-02-02,2008-02-02,1.37
"126",2008-02-03,2008-02-03,1.05
"127",2008-02-04,2008-02-04,0.3
"128",2008-02-05,2008-02-05,0.09
"129",2008-02-06,2008-02-06,0.26
"130",2008-02-07,2008-02-07,0.69
"131",2008-02-08,2008-02-08,0.13
"132",2008-02-09,2008-02-09,0.12
"133",2008-02-10,2008-02-10,0.06
"134",2008-02-11,2008-02-11,0.09
"135",2008-02-12,2008-02-12,0.01
"136",2008-02-13,2008-02-13,0.09
"137",2008-02-14,2008-02-14,0.01
"138",2008-02-15,2008-02-15,0.01
"139",2008-02-16,2008-02-16,0.01
"140",2008-02-17,2008-02-17,0.01
"141",2008-02-18,2008-02-18,0
"142",2008-02-19,2008-02-19,0
"143",2008-02-20,2008-02-20,0.1
"144",2008-02-21,2008-02-21,0.01
"145",2008-02-22,2008-02-22,0.19
"146",2008-02-23,2008-02-23,0.03
"147",2008-02-24,2008-02-24,0.09
"148",2008-02-25,2008-02-25,0.24
"149",2008-02-26,2008-02-26,0.01
"150",2008-02-27,2008-02-27,0
"151",2008-02-28,2008-02-28,0
"152",2008-02-29,2008-02-29,0
"153",2008-03-01,2008-03-01,0.36
"154",2008-03-02,2008-03-02,0.17
"155",2008-03-03,2008-03-03,0.01
"156",2008-03-04,2008-03-04,0.23
"157",2008-03-05,2008-03-05,0.01
"158",2008-03-06,2008-03-06,0.01
"159",2008-03-07,2008-03-07,0
"160",2008-03-08,2008-03-08,0.63
"161",2008-03-09,2008-03-09,0.01
"162",2008-03-10,2008-03-10,0
"163",2008-03-11,2008-03-11,0.16
"164",2008-03-12,2008-03-12,0.02
"165",2008-03-13,2008-03-13,0.45
"166",2008-03-14,2008-03-14,0.64
"167",2008-03-15,2008-03-15,0.33
"168",2008-03-16,2008-03-16,0.16
"169",2008-03-17,2008-03-17,0.08
"170",2008-03-18,2008-03-18,1.59
"171",2008-03-19,2008-03-19,0.25
"172",2008-03-20,2008-03-20,0.41
"173",2008-03-21,2008-03-21,0.5
"174",2008-03-22,2008-03-22,0.05
"175",2008-03-23,2008-03-23,0.16
"176",2008-03-24,2008-03-24,0.22
"177",2008-03-25,2008-03-25,0
"178",2008-03-26,2008-03-26,0.39
"179",2008-03-27,2008-03-27,0.24
"180",2008-03-28,2008-03-28,0.28
"181",2008-03-29,2008-03-29,0.2
"182",2008-03-30,2008-03-30,0.28
"183",2008-03-31,2008-03-31,0.02
"184",2008-04-01,2008-04-01,0.01
"185",2008-04-02,2008-04-02,0
"186",2008-04-03,2008-04-03,0.01
"187",2008-04-04,2008-04-04,0.01
"188",2008-04-05,2008-04-05,0.34
"189",2008-04-06,2008-04-06,0.51
"190",2008-04-07,2008-04-07,0.13
"191",2008-04-08,2008-04-08,0.4
"192",2008-04-09,2008-04-09,0.08
"193",2008-04-10,2008-04-10,0.04
"194",2008-04-11,2008-04-11,0.1
"195",2008-04-12,2008-04-12,0.01
"196",2008-04-13,2008-04-13,0
"197",2008-04-14,2008-04-14,0
"198",2008-04-15,2008-04-15,0.19
"199",2008-04-16,2008-04-16,0.05
"200",2008-04-17,2008-04-17,0.01
"201",2008-04-18,2008-04-18,0.01
"202",2008-04-19,2008-04-19,0.09
"203",2008-04-20,2008-04-20,0.52
"204",2008-04-21,2008-04-21,0.47
"205",2008-04-22,2008-04-22,0.83
"206",2008-04-23,2008-04-23,0.64
"207",2008-04-24,2008-04-24,0.56
"208",2008-04-25,2008-04-25,0.01
"209",2008-04-26,2008-04-26,0
"210",2008-04-27,2008-04-27,0
"211",2008-04-28,2008-04-28,0.19
"212",2008-04-29,2008-04-29,0.16
"213",2008-04-30,2008-04-30,0.22
"214",2008-05-01,2008-05-01,0.01
"215",2008-05-02,2008-05-02,0
"216",2008-05-03,2008-05-03,0
"217",2008-05-04,2008-05-04,0
"218",2008-05-05,2008-05-05,0
"219",2008-05-06,2008-05-06,0
"220",2008-05-07,2008-05-07,0
"221",2008-05-08,2008-05-08,0
"222",2008-05-09,2008-05-09,0
"223",2008-05-10,2008-05-10,0
"224",2008-05-11,2008-05-11,0.15
"225",2008-05-12,2008-05-12,0.01
"226",2008-05-13,2008-05-13,0
"227",2008-05-14,2008-05-14,0
"228",2008-05-15,2008-05-15,0
"229",2008-05-16,2008-05-16,0
"230",2008-05-17,2008-05-17,0
"231",2008-05-18,2008-05-18,0
"232",2008-05-19,2008-05-19,0
"233",2008-05-20,2008-05-20,0.19
"234",2008-05-21,2008-05-21,0.18
"235",2008-05-22,2008-05-22,0.06
"236",2008-05-23,2008-05-23,0.03
"237",2008-05-24,2008-05-24,0.05
"238",2008-05-25,2008-05-25,0.01
"239",2008-05-26,2008-05-26,0
"240",2008-05-27,2008-05-27,0.03
"241",2008-05-28,2008-05-28,0.01
"242",2008-05-29,2008-05-29,0.01
"243",2008-05-30,2008-05-30,0
"244",2008-05-31,2008-05-31,0
"245",2008-06-01,2008-06-01,0
"246",2008-06-02,2008-06-02,0
"247",2008-06-03,2008-06-03,0.84
"248",2008-06-04,2008-06-04,0.34
"249",2008-06-05,2008-06-05,0.04
"250",2008-06-06,2008-06-06,0.4
"251",2008-06-07,2008-06-07,0.26
"252",2008-06-08,2008-06-08,0.01
"253",2008-06-09,2008-06-09,0.01
"254",2008-06-10,2008-06-10,0.07
"255",2008-06-11,2008-06-11,0.02
"256",2008-06-12,2008-06-12,0.01
"257",2008-06-13,2008-06-13,0
"258",2008-06-14,2008-06-14,0
"259",2008-06-15,2008-06-15,0
"260",2008-06-16,2008-06-16,0
"261",2008-06-17,2008-06-17,0
"262",2008-06-18,2008-06-18,0
"263",2008-06-19,2008-06-19,0
"264",2008-06-20,2008-06-20,0
"265",2008-06-21,2008-06-21,0
"266",2008-06-22,2008-06-22,0.04
"267",2008-06-23,2008-06-23,0
"268",2008-06-24,2008-06-24,0
"269",2008-06-25,2008-06-25,0
"270",2008-06-26,2008-06-26,0
"271",2008-06-27,2008-06-27,0
"272",NA,2008-06-28,0
"273",NA,2008-06-29,0
"274",NA,2008-06-30,0
"275",NA,2008-07-01,0
"276",NA,2008-07-02,0
"277",NA,2008-07-03,0
"278",NA,2008-07-04,0
"279",NA,2008-07-05,0
"280",NA,2008-07-06,0
"281",NA,2008-07-07,0
"282",NA,2008-07-08,0
"283",NA,2008-07-09,0
"284",NA,2008-07-10,0
"285",NA,2008-07-11,0
"286",NA,2008-07-12,0
"287",NA,2008-07-13,0
"288",2008-07-14,2008-07-14,0
"289",2008-07-15,2008-07-15,0
"290",2008-07-16,2008-07-16,0
"291",2008-07-17,2008-07-17,0
"292",2008-07-18,2008-07-18,0
"293",2008-07-19,2008-07-19,0
"294",2008-07-20,2008-07-20,0
"295",2008-07-21,2008-07-21,0
"296",2008-07-22,2008-07-22,0
"297",2008-07-23,2008-07-23,0
"298",2008-07-24,2008-07-24,0
"299",2008-07-25,2008-07-25,0
"300",2008-07-26,2008-07-26,0
"301",2008-07-27,2008-07-27,0.01
"302",2008-07-28,2008-07-28,0.01
"303",2008-07-29,2008-07-29,0
"304",2008-07-30,2008-07-30,0.22
"305",2008-07-31,2008-07-31,0.01
"306",2008-08-01,2008-08-01,0.1
"307",2008-08-02,2008-08-02,0.27
"308",NA,2008-08-03,0
"309",NA,2008-08-04,0
"310",NA,2008-08-05,0
"311",NA,2008-08-06,0
"312",NA,2008-08-07,0
"313",NA,2008-08-08,0
"314",NA,2008-08-09,0
"315",NA,2008-08-10,0
"316",2008-08-11,2008-08-11,0.01
"317",2008-08-12,2008-08-12,0
"318",2008-08-13,2008-08-13,0
"319",2008-08-14,2008-08-14,0
"320",2008-08-15,2008-08-15,0.01
"321",2008-08-16,2008-08-16,0
"322",2008-08-17,2008-08-17,0.01
"323",2008-08-18,2008-08-18,0.14
"324",2008-08-19,2008-08-19,0.15
"325",2008-08-20,2008-08-20,1.14
"326",2008-08-21,2008-08-21,0.37
"327",2008-08-22,2008-08-22,0.01
"328",2008-08-23,2008-08-23,0.01
"329",2008-08-24,2008-08-24,0
"330",2008-08-25,2008-08-25,0.37
"331",2008-08-26,2008-08-26,0
"332",2008-08-27,2008-08-27,0
"333",2008-08-28,2008-08-28,0.03
"334",2008-08-29,2008-08-29,0
"335",2008-08-30,2008-08-30,0
"336",2008-08-31,2008-08-31,0
"337",2008-09-01,2008-09-01,0.03
"338",2008-09-02,2008-09-02,0
"339",2008-09-03,2008-09-03,0
"340",2008-09-04,2008-09-04,0
"341",2008-09-05,2008-09-05,0
"342",2008-09-06,2008-09-06,0
"343",2008-09-07,2008-09-07,0
"344",2008-09-08,2008-09-08,0
"345",2008-09-09,2008-09-09,0
"346",2008-09-10,2008-09-10,0
"347",2008-09-11,2008-09-11,0
"348",2008-09-12,2008-09-12,0
"349",2008-09-13,2008-09-13,0
"350",2008-09-14,2008-09-14,0
"351",2008-09-15,2008-09-15,0
"352",2008-09-16,2008-09-16,0
"353",2008-09-17,2008-09-17,0.02
"354",2008-09-18,2008-09-18,0.01
"355",2008-09-19,2008-09-19,0
"356",2008-09-20,2008-09-20,0
"357",2008-09-21,2008-09-21,0
"358",2008-09-22,2008-09-22,0.04
"359",2008-09-23,2008-09-23,0
"360",2008-09-24,2008-09-24,0
"361",2008-09-25,2008-09-25,0.42
"362",2008-09-26,2008-09-26,0.01
"363",2008-09-27,2008-09-27,0
"364",2008-09-28,2008-09-28,0
"365",2008-09-29,2008-09-29,0
"366",2008-09-30,2008-09-30,0
"367",2009-10-01,2008-10-01,0.02
"368",2009-10-02,2008-10-02,0.01
"369",2009-10-03,2008-10-03,0.06
"370",2009-10-04,2008-10-04,0.03
"371",2009-10-05,2008-10-05,0.01
"372",2009-10-06,2008-10-06,0
"373",2009-10-07,2008-10-07,0
"374",2009-10-08,2008-10-08,0
"375",2009-10-09,2008-10-09,0
"376",2009-10-10,2008-10-10,0
"377",2009-10-11,2008-10-11,0
"378",2009-10-12,2008-10-12,0
"379",2009-10-13,2008-10-13,0.15
"380",2009-10-14,2008-10-14,0.79
"381",2009-10-15,2008-10-15,0.62
"382",2009-10-16,2008-10-16,0.01
"383",2009-10-17,2008-10-17,0.03
"384",2009-10-18,2008-10-18,0.78
"385",2009-10-19,2008-10-19,0.02
"386",NA,2008-10-20,0
"387",NA,2008-10-21,0
"388",NA,2008-10-22,0
"389",NA,2008-10-23,0
"390",NA,2008-10-24,0
"391",NA,2008-10-25,0
"392",NA,2008-10-26,0
"393",NA,2008-10-27,0
"394",NA,2008-10-28,0
"395",NA,2008-10-29,0
"396",NA,2008-10-30,0
"397",2009-10-31,2008-10-31,0.59
"398",2009-11-01,2008-11-01,0.02
"399",2009-11-02,2008-11-02,0
"400",2009-11-03,2008-11-03,0
"401",2009-11-04,2008-11-04,0
"402",2009-11-05,2008-11-05,0
"403",2009-11-06,2008-11-06,1.52
"404",2009-11-07,2008-11-07,0.63
"405",2009-11-08,2008-11-08,0.47
"406",2009-11-09,2008-11-09,0.16
"407",2009-11-10,2008-11-10,0.64
"408",2009-11-11,2008-11-11,0.6
"409",2009-11-12,2008-11-12,0.34
"410",2009-11-13,2008-11-13,0.09
"411",2009-11-14,2008-11-14,0.56
"412",2009-11-15,2008-11-15,0.01
"413",2009-11-16,2008-11-16,0
"414",2009-11-17,2008-11-17,1.02
"415",2009-11-18,2008-11-18,0.32
"416",2009-11-19,2008-11-19,0.09
"417",2009-11-20,2008-11-20,1.14
"418",2009-11-21,2008-11-21,0.34
"419",2009-11-22,2008-11-22,0.55
"420",2009-11-23,2008-11-23,0.02
"421",NA,2008-11-24,0
"422",NA,2008-11-25,0
"423",NA,2008-11-26,0
"424",NA,2008-11-27,0
"425",NA,2008-11-28,0
"426",NA,2008-11-29,0
"427",2009-11-30,2008-11-30,0.02
"428",2009-12-01,2008-12-01,0
"429",2009-12-02,2008-12-02,0
"430",2009-12-03,2008-12-03,0
"431",2009-12-04,2008-12-04,0
"432",2009-12-05,2008-12-05,0
"433",2009-12-06,2008-12-06,0
"434",2009-12-07,2008-12-07,0
"435",2009-12-08,2008-12-08,0
"436",2009-12-09,2008-12-09,0
"437",2009-12-10,2008-12-10,0
"438",2009-12-11,2008-12-11,0
"439",2009-12-12,2008-12-12,0.29
"440",2009-12-13,2008-12-13,0.38
"441",2009-12-14,2008-12-14,0.02
"442",2009-12-15,2008-12-15,1.96
"443",2009-12-16,2008-12-16,1.22
"444",2009-12-17,2008-12-17,0.89
"445",2009-12-18,2008-12-18,0.1
"446",2009-12-19,2008-12-19,0.29
"447",2009-12-20,2008-12-20,0.11
"448",2009-12-21,2008-12-21,1
"449",2009-12-22,2008-12-22,0.71
"450",2009-12-23,2008-12-23,0.03
"451",2009-12-24,2008-12-24,0
"452",2009-12-25,2008-12-25,0
"453",2009-12-26,2008-12-26,0
"454",2009-12-27,2008-12-27,0.07
"455",2009-12-28,2008-12-28,0.05
"456",2009-12-29,2008-12-29,0
"457",2009-12-30,2008-12-30,0.69
"458",2009-12-31,2008-12-31,0.63
"459",2009-01-01,2009-01-01,0.29
"460",2009-01-02,2009-01-02,0.97
"461",2009-01-03,2009-01-03,0.19
"462",2009-01-04,2009-01-04,0.05
"463",2009-01-05,2009-01-05,0.46
"464",2009-01-06,2009-01-06,0.92
"465",2009-01-07,2009-01-07,0.59
"466",2009-01-08,2009-01-08,1.21
"467",2009-01-09,2009-01-09,0.11
"468",2009-01-10,2009-01-10,0
"469",2009-01-11,2009-01-11,0.05
"470",2009-01-12,2009-01-12,0.04
"471",2009-01-13,2009-01-13,0
"472",2009-01-14,2009-01-14,0
"473",2009-01-15,2009-01-15,0
"474",2009-01-16,2009-01-16,0
"475",2009-01-17,2009-01-17,0
"476",2009-01-18,2009-01-18,0
"477",2009-01-19,2009-01-19,0
"478",2009-01-20,2009-01-20,0
"479",2009-01-21,2009-01-21,0
"480",2009-01-22,2009-01-22,0
"481",2009-01-23,2009-01-23,0
"482",2009-01-24,2009-01-24,0
"483",2009-01-25,2009-01-25,0.57
"484",2009-01-26,2009-01-26,0.07
"485",2009-01-27,2009-01-27,0
"486",2009-01-28,2009-01-28,0.65
"487",2009-01-29,2009-01-29,0.03
"488",2009-01-30,2009-01-30,0
"489",2009-01-31,2009-01-31,0.03
"490",2009-02-01,2009-02-01,0
"491",2009-02-02,2009-02-02,0
"492",2009-02-03,2009-02-03,0
"493",2009-02-04,2009-02-04,0
"494",2009-02-05,2009-02-05,0
"495",2009-02-06,2009-02-06,0.5
"496",2009-02-07,2009-02-07,0.02
"497",2009-02-08,2009-02-08,0
"498",2009-02-09,2009-02-09,0.16
"499",2009-02-10,2009-02-10,0.12
"500",2009-02-11,2009-02-11,0.42
"501",2009-02-12,2009-02-12,0.04
"502",2009-02-13,2009-02-13,0.37
"503",2009-02-14,2009-02-14,0.05
"504",2009-02-15,2009-02-15,0.2
"505",2009-02-16,2009-02-16,0.02
"506",2009-02-17,2009-02-17,0.07
"507",2009-02-18,2009-02-18,0
"508",2009-02-19,2009-02-19,0
"509",2009-02-20,2009-02-20,0
"510",2009-02-21,2009-02-21,0
"511",2009-02-22,2009-02-22,0.45
"512",2009-02-23,2009-02-23,0.53
"513",2009-02-24,2009-02-24,1.12
"514",2009-02-25,2009-02-25,0.22
"515",2009-02-26,2009-02-26,0.07
"516",2009-02-27,2009-02-27,0
"517",2009-02-28,2009-02-28,0.65
"518",2009-03-01,2009-03-01,1.53
"519",2009-03-02,2009-03-02,0.02
"520",2009-03-03,2009-03-03,0.33
"521",2009-03-04,2009-03-04,0.12
"522",2009-03-05,2009-03-05,0.15
"523",2009-03-06,2009-03-06,0.19
"524",2009-03-07,2009-03-07,0.02
"525",2009-03-08,2009-03-08,0.19
"526",2009-03-09,2009-03-09,0.55
"527",2009-03-10,2009-03-10,0.1
"528",2009-03-11,2009-03-11,0
"529",2009-03-12,2009-03-12,0
"530",2009-03-13,2009-03-13,0
"531",2009-03-14,2009-03-14,0.04
"532",2009-03-15,2009-03-15,1.16
"533",2009-03-16,2009-03-16,0.45
"534",2009-03-17,2009-03-17,0.24
"535",2009-03-18,2009-03-18,0
"536",2009-03-19,2009-03-19,0
"537",2009-03-20,2009-03-20,0.19
"538",2009-03-21,2009-03-21,0.07
"539",2009-03-22,2009-03-22,0.53
"540",2009-03-23,2009-03-23,0.03
"541",2009-03-24,2009-03-24,0.34
"542",2009-03-25,2009-03-25,0.23
"543",2009-03-26,2009-03-26,0.65
"544",2009-03-27,2009-03-27,0
"545",2009-03-28,2009-03-28,0
"546",2009-03-29,2009-03-29,0.54
"547",2009-03-30,2009-03-30,0.05
"548",2009-03-31,2009-03-31,0
"549",2009-04-01,2009-04-01,0.06
"550",2009-04-02,2009-04-02,1.09
"551",2009-04-03,2009-04-03,0.06
"552",2009-04-04,2009-04-04,0.06
"553",2009-04-05,2009-04-05,0
"554",2009-04-06,2009-04-06,0
"555",2009-04-07,2009-04-07,0
"556",2009-04-08,2009-04-08,0.01
"557",2009-04-09,2009-04-09,0.14
"558",2009-04-10,2009-04-10,0.09
"559",2009-04-11,2009-04-11,0.02
"560",2009-04-12,2009-04-12,0.15
"561",2009-04-13,2009-04-13,0.46
"562",2009-04-14,2009-04-14,0.17
"563",2009-04-15,2009-04-15,0.03
"564",2009-04-16,2009-04-16,0
"565",2009-04-17,2009-04-17,0.28
"566",2009-04-18,2009-04-18,0.1
"567",2009-04-19,2009-04-19,0
"568",2009-04-20,2009-04-20,0
"569",2009-04-21,2009-04-21,0
"570",2009-04-22,2009-04-22,0
"571",2009-04-23,2009-04-23,0
"572",2009-04-24,2009-04-24,0
"573",2009-04-25,2009-04-25,0
"574",2009-04-26,2009-04-26,0.06
"575",2009-04-27,2009-04-27,0.01
"576",2009-04-28,2009-04-28,0.04
"577",2009-04-29,2009-04-29,0.16
"578",2009-04-30,2009-04-30,0.01
"579",2009-05-01,2009-05-01,0.01
"580",2009-05-02,2009-05-02,0.55
"581",2009-05-03,2009-05-03,0.16
"582",2009-05-04,2009-05-04,0
"583",2009-05-05,2009-05-05,1.25
"584",2009-05-06,2009-05-06,0.46
"585",2009-05-07,2009-05-07,0.15
"586",2009-05-08,2009-05-08,0.01
"587",2009-05-09,2009-05-09,0
"588",2009-05-10,2009-05-10,0
"589",2009-05-11,2009-05-11,0.09
"590",2009-05-12,2009-05-12,0.14
"591",2009-05-13,2009-05-13,0.04
"592",2009-05-14,2009-05-14,0.77
"593",2009-05-15,2009-05-15,0.02
"594",2009-05-16,2009-05-16,0
"595",2009-05-17,2009-05-17,0
"596",2009-05-18,2009-05-18,0
"597",2009-05-19,2009-05-19,0.12
"598",2009-05-20,2009-05-20,0.02
"599",2009-05-21,2009-05-21,0
"600",2009-05-22,2009-05-22,0
"601",2009-05-23,2009-05-23,0
"602",2009-05-24,2009-05-24,0
"603",2009-05-25,2009-05-25,0
"604",2009-05-26,2009-05-26,0
"605",2009-05-27,2009-05-27,0
"606",2009-05-28,2009-05-28,0
"607",2009-05-29,2009-05-29,0
"608",2009-05-30,2009-05-30,0
"609",2009-05-31,2009-05-31,0.01
"610",2009-06-01,2009-06-01,0.01
"611",2009-06-02,2009-06-02,0.07
"612",2009-06-03,2009-06-03,0.05
"613",2009-06-04,2009-06-04,0.01
"614",2009-06-05,2009-06-05,0.33
"615",2009-06-06,2009-06-06,0.13
"616",2009-06-07,2009-06-07,0.04
"617",2009-06-08,2009-06-08,0.01
"618",2009-06-09,2009-06-09,0
"619",2009-06-10,2009-06-10,0
"620",2009-06-11,2009-06-11,0.02
"621",2009-06-12,2009-06-12,0
"622",2009-06-13,2009-06-13,0.01
"623",2009-06-14,2009-06-14,0.1
"624",2009-06-15,2009-06-15,0.01
"625",2009-06-16,2009-06-16,0
"626",2009-06-17,2009-06-17,0
"627",2009-06-18,2009-06-18,0.01
"628",2009-06-19,2009-06-19,0.12
"629",2009-06-20,2009-06-20,0.01
"630",2009-06-21,2009-06-21,0.03
"631",2009-06-22,2009-06-22,0
"632",2009-06-23,2009-06-23,0
"633",2009-06-24,2009-06-24,0
"634",2009-06-25,2009-06-25,0.03
"635",2009-06-26,2009-06-26,0
"636",2009-06-27,2009-06-27,0
"637",2009-06-28,2009-06-28,0
"638",2009-06-29,2009-06-29,0
"639",2009-06-30,2009-06-30,0
"640",2009-07-01,2009-07-01,0
"641",2009-07-02,2009-07-02,0
"642",2009-07-03,2009-07-03,0
"643",2009-07-04,2009-07-04,0
"644",2009-07-05,2009-07-05,0.02
"645",2009-07-06,2009-07-06,0.01
"646",2009-07-07,2009-07-07,0
"647",2009-07-08,2009-07-08,0.01
"648",2009-07-09,2009-07-09,0
"649",2009-07-10,2009-07-10,0
"650",2009-07-11,2009-07-11,0.1
"651",2009-07-12,2009-07-12,0.02
"652",2009-07-13,2009-07-13,0.06
"653",2009-07-14,2009-07-14,0
"654",2009-07-15,2009-07-15,0
"655",2009-07-16,2009-07-16,0
"656",2009-07-17,2009-07-17,0
"657",2009-07-18,2009-07-18,0
"658",NA,2009-07-19,0
"659",NA,2009-07-20,0
"660",NA,2009-07-21,0
"661",NA,2009-07-22,0
"662",NA,2009-07-23,0
"663",NA,2009-07-24,0
"664",NA,2009-07-25,0
"665",NA,2009-07-26,0
"666",2009-07-27,2009-07-27,0
"667",2009-07-28,2009-07-28,0
"668",2009-07-29,2009-07-29,0
"669",2009-07-30,2009-07-30,0.03
"670",2009-07-31,2009-07-31,0.02
"671",2009-08-01,2009-08-01,0.02
"672",2009-08-02,2009-08-02,0.03
"673",2009-08-03,2009-08-03,0.03
"674",2009-08-04,2009-08-04,0
"675",2009-08-05,2009-08-05,0
"676",2009-08-06,2009-08-06,0
"677",2009-08-07,2009-08-07,0.02
"678",2009-08-08,2009-08-08,0
"679",2009-08-09,2009-08-09,0
"680",2009-08-10,2009-08-10,0
"681",2009-08-11,2009-08-11,0.01
"682",2009-08-12,2009-08-12,0.07
"683",2009-08-13,2009-08-13,0.03
"684",2009-08-14,2009-08-14,0
"685",2009-08-15,2009-08-15,0
"686",2009-08-16,2009-08-16,0
"687",2009-08-17,2009-08-17,0
"688",2009-08-18,2009-08-18,0
"689",2009-08-19,2009-08-19,0
"690",2009-08-20,2009-08-20,0.03
"691",2009-08-21,2009-08-21,0.02
"692",2009-08-22,2009-08-22,0
"693",2009-08-23,2009-08-23,0
"694",2009-08-24,2009-08-24,0
"695",2009-08-25,2009-08-25,0
"696",2009-08-26,2009-08-26,0.02
"697",2009-08-27,2009-08-27,0.01
"698",2009-08-28,2009-08-28,0
"699",2009-08-29,2009-08-29,0.48
"700",2009-08-30,2009-08-30,0.01
"701",2009-08-31,2009-08-31,0
"702",2009-09-01,2009-09-01,0
"703",2009-09-02,2009-09-02,0
"704",2009-09-03,2009-09-03,0
"705",2009-09-04,2009-09-04,0
"706",2009-09-05,2009-09-05,0.49
